Account Name,NIP*
Wypełnienie formularza - Oct. 06, 2025 12:23PM,
ASE Group Sp. z o.o.,5830000049
WMH GmbH,
SPACE OF AD,8982254343
CHARLES IRVINE,5252658598
JAROSŁAW PRZYBYSZEWSKI,
Wypełnienie formularza - Oct. 02, 2025 11:45AM,
CK Legal Chabasiewicz Kowalska i Wspólnicy,6762428573
EVER GRUPA,1182143041
GTX POLAND,5220201720
AVOGRANA,7773424639
TEAM CONNECT,5213597898
IQVIA SOLUTIONS POLAND,5272522896
Wypełnienie formularza - Sep. 23, 2025 11:35AM,
AMK WOOD,6060096478
FIDES,
"Odlewnia Żeliwa Bydgoszcz Sp. z o.o.,	9671035444"
Mane Polska,5210123131
Wypełnienie formularza - Sep. 19, 2025 12:56PM,
Wypełnienie formularza - Sep. 18, 2025 6:56PM,
PRO INDUSTRIA,6511739181
KOMUNALNE PRZEDSIĘBIORSTWO ROBÓT INŻYNIERYJNYCH I SANITARNYCH,7120159913
SEWS CABIND POLAND,5532214187
Bilfinger Engineering Poland Sp. z o.o.,7791013284
IP SYSTEM MANUFACTURING,7792126446
TS TECH POLAND,9492252082
GOG,1132177807
CFR ŁUKASZ CYFERT,9720695147
GAMI-PACK Adrian Borowiecki,6251646151
SOFTBLUE,9671355663
TEMPUR SEALY POLSKA,5272671515
STONEWEG PROPERTY GROUP POLAND,5252137008
VML,5252444319
KLEPIERRE MANAGEMENT POLSKA,6762198765
AIRCOM GROUP-PL,8961572227
Wypełnienie formularza - Sep. 17, 2025 12:00PM,
MDM-DRUK,7771741324
METALCYNK SP. Z O.O.,9671354082
ECONSULTING,5342194317
JAR AROMATY,1182100959
Lewis Silkin,
Seda Germany,
KEMPER SYSTEM,DE124465690
FALK-Co GmbH,
AMWIN,7891733913
Gdańska Infrastruktura Wodociągowo-Kanalizacyjna,5832870369
CROMWELL,5272507276
MFW FIAŁEK,5253025518
KELLY,
BAYWA R.E. POLSKA,5252429314
FOURKITES POLAND,5272960716
PIOTR STEC FUNDACJA RODZINNA,
ZBIGNIEW MALINIAK FUNDACJA RODZINNA,
DANUTA GOGOLIŃSKA FUNDACJA RODZINNA,
Wypełnienie formularza - Aug. 30, 2025 11:23AM,
PREMIUM DISTILLERS,6110201926
TIMKEN CORPORATION,
Mueller Fabryka Świec S.A.,9671146988
Wypełnienie formularza - Aug. 21, 2025 12:07PM,
FUNDACJA RODZINNA JANUSZ KONIK,
Galmeo,
CYBAGE SOFTWARE,6762694576
FRISTADS,
PLACHTA FUNDACJA RODZINNA,
